Date,Open,High,Low,Close,Volume,Adj Close
12/31/2014,233.089996,233.699997,229.110001,229.710007,599800,229.710007
12/30/2014,232.369995,234.160004,230.259995,232.669998,533900,232.669998
12/29/2014,235.300003,237.190002,232.410004,233.339996,714800,233.339996
12/26/2014,232.270004,237.039993,231.529999,235.25,790900,235.25
12/24/2014,231.240005,234.729996,230.210007,231.830002,478400,231.830002
12/23/2014,235.190002,238.190002,230.880005,231.490005,1278300,231.490005
12/22/2014,234.710007,235.25,231.009995,233,1398700,233
12/19/2014,232.809998,243.25,231.320007,234.610001,3310200,234.610001
12/18/2014,224.050003,232.300003,223.559998,231.839996,2370400,231.839996
12/17/2014,216.529999,220.600006,215.100006,219.779999,1143700,219.779999
12/16/2014,215.830002,221.630005,214.940002,215.570007,1423700,215.570007
12/15/2014,221.710007,223.169998,217.869995,218.020004,1072400,218.020004
12/12/2014,214.970001,221.860001,214.270004,219.899994,1278100,219.899994
12/11/2014,215.190002,220.75,214.199997,217.360001,1154800,217.360001
12/10/2014,215.380005,218.410004,214.029999,215.070007,1297900,215.070007
12/9/2014,207.039993,215.679993,205,215.470001,1172400,215.470001
12/8/2014,216.899994,218.429993,209.5,211.940002,1908400,211.940002
12/5/2014,218.259995,219.029999,216.020004,218.080002,1185700,218.080002
12/4/2014,216.229996,219.990005,216.080002,218.830002,774500,218.830002
12/3/2014,216.869995,218.800003,213.25,217.740005,1197900,217.740005
12/2/2014,217.880005,218.5,213.710007,215.020004,1295900,215.020004
12/1/2014,225.809998,225.880005,216.070007,216.809998,1577200,216.809998
11/28/2014,225.720001,227.899994,224,226.270004,493200,226.270004
11/26/2014,223.759995,226.740005,222.589996,226.339996,969600,226.339996
11/25/2014,221.559998,224.860001,221.169998,224.350006,1015600,224.350006
11/24/2014,219.199997,222,215.520004,221.759995,1159500,221.759995
11/21/2014,222.899994,224.5,218,219.089996,1050200,219.089996
11/20/2014,218.5,222.259995,217.110001,220.300003,798400,220.300003
11/19/2014,220.100006,222.100006,216.380005,219.610001,1288500,219.610001
11/18/2014,219.279999,225.5,219,221.070007,1973100,221.070007
11/17/2014,229.440002,230.690002,219.440002,223.279999,2756000,223.279999
11/14/2014,230.059998,234.830002,229.720001,233.889999,1395500,233.889999
11/13/2014,231.899994,234.789993,228.509995,229.770004,1366500,229.770004
11/12/2014,230.880005,231.440002,228.199997,231.130005,1022900,231.130005
11/11/2014,229.210007,231.460007,226.119995,231,1050700,231
11/10/2014,221.75,230.279999,221.660004,229.25,1482400,229.25
11/7/2014,224.649994,226.419998,222.179993,223.039993,1363400,223.039993
11/6/2014,221.839996,226.979996,221.25,224.649994,3299600,224.649994
11/5/2014,235.960007,236.679993,218.179993,218.179993,3769500,218.179993
11/4/2014,232.490005,238.770004,231.869995,238.429993,2463300,238.429993
11/3/2014,228.210007,236.149994,226.440002,233.080002,2936200,233.080002
10/31/2014,224.240005,232.229996,222.729996,228.960007,6947100,228.960007
10/30/2014,198.460007,203.740005,195.5,202.899994,4365400,202.899994
10/29/2014,202.990005,202.990005,197.119995,199.509995,1742500,199.509995
10/28/2014,199.119995,205.800003,198.630005,205.350006,1293600,205.350006
10/27/2014,202.309998,202.309998,198.5,199.990005,956900,199.990005
10/24/2014,201.5,203.490005,199.199997,202.100006,873100,202.100006
10/23/2014,202.979996,204.779999,199.550003,202.619995,1062400,202.619995
10/22/2014,206.399994,206.399994,198.279999,198.520004,1442200,198.520004
10/21/2014,201,206.889999,200,205.380005,1524500,205.380005
10/20/2014,195.699997,199.5,193.220001,198.440002,1033300,198.440002
10/17/2014,201.660004,201.660004,195.5,195.960007,1415400,195.960007
10/16/2014,188.690002,202.479996,187.610001,198.389999,2032500,198.389999
10/15/2014,192,200.850006,191.449997,199.619995,1538000,199.619995
10/14/2014,195.009995,199.639999,193.210007,196.020004,1034300,196.020004
10/13/2014,195.059998,199.240005,189.199997,193.130005,1843200,193.130005
10/10/2014,200.669998,205.220001,194.130005,194.229996,2397800,194.229996
10/9/2014,206.839996,206.979996,200.649994,201.990005,1682900,201.990005
10/8/2014,204.350006,207.080002,192.190002,207.070007,2065100,207.070007
10/7/2014,207.839996,208.770004,204.029999,204.389999,1199100,204.389999
10/6/2014,211.889999,213.630005,207.720001,208.220001,1190600,208.220001
10/3/2014,210.089996,213.399994,207.740005,210.869995,1455700,210.869995
10/2/2014,203.399994,208.389999,200.800003,207,1524700,207
10/1/2014,207.419998,208.199997,201,203.080002,1872200,203.080002
9/30/2014,210.259995,211.960007,205.550003,207.789993,1268900,207.789993
9/29/2014,211.029999,213.490005,209.110001,210.380005,980900,210.380005
9/26/2014,210.100006,215.149994,209.009995,212.720001,1957800,212.720001
9/25/2014,210.809998,211.419998,205.759995,206.039993,1554100,206.039993
9/24/2014,207.039993,212.889999,206.020004,211.630005,1580900,211.630005
9/23/2014,205.399994,209.990005,205.279999,206.210007,1628500,206.210007
9/22/2014,210.679993,210.820007,204.289993,206.889999,1545900,206.889999
9/19/2014,211,211.970001,207.179993,211.169998,1643200,211.169998
9/18/2014,210.399994,211.479996,209.029999,210.5,1020600,210.5
9/17/2014,212.990005,215.470001,208.759995,210.039993,1656800,210.039993
9/16/2014,206.110001,213.75,204.220001,212.380005,2971500,212.380005
9/15/2014,224.5,224.5,206.690002,207.710007,3929500,207.710007
9/12/2014,226.330002,226.520004,223.279999,224.830002,1391700,224.830002
9/11/2014,229.539993,230.470001,224.119995,226.610001,1894700,226.610001
9/10/2014,229.490005,231.289993,226.729996,231,851800,231
9/9/2014,230.660004,232.279999,227.380005,228.740005,1270900,228.740005
9/8/2014,229.320007,231.649994,228.759995,230.600006,985900,230.600006
9/5/2014,227.100006,230.570007,225.729996,229.630005,1556000,229.630005
9/4/2014,225.339996,230.740005,225.210007,227.550003,1717300,227.550003
9/3/2014,227.539993,227.979996,223.399994,225.050003,1593100,225.050003
9/2/2014,225.910004,228.699997,224.139999,225,1602600,225
8/29/2014,223.910004,226.720001,223.350006,225.75,1029500,225.75
8/28/2014,222.759995,224.199997,221.919998,223.259995,1011700,223.259995
8/27/2014,225.100006,225.520004,222.649994,224.199997,930300,224.199997
8/26/2014,223.25,226.589996,221.520004,225.360001,1173700,225.360001
8/25/2014,227.600006,227.800003,221.720001,222.479996,1899200,222.479996
8/22/2014,218.399994,227.419998,217.369995,226.399994,2687300,226.399994
8/21/2014,218,219.479996,216.639999,219.199997,1068800,219.199997
8/20/2014,215.529999,218.860001,214.800003,217.919998,1101700,217.919998
8/19/2014,218.759995,221.940002,216.399994,216.710007,2043700,216.710007
8/18/2014,216.509995,220.550003,216.330002,218.660004,2280900,218.660004
8/15/2014,218.869995,220.009995,214.229996,219.860001,2439200,219.860001
8/14/2014,216.160004,219.009995,215,218.360001,1552100,218.360001
8/13/2014,214.100006,216.330002,213.5,215.139999,1411400,215.139999
8/12/2014,212.070007,213.839996,210.070007,213.380005,1179200,213.380005
8/11/2014,209.089996,214.070007,209.089996,212.899994,2113800,212.899994
8/8/2014,207,208.259995,204,208.119995,1649400,208.119995
8/7/2014,204.089996,208.75,203.25,206.759995,2060700,206.759995
8/6/2014,202.300003,205.690002,202,203.570007,1701800,203.570007
8/5/2014,200.300003,205.720001,200.300003,204.649994,2573700,204.649994
8/4/2014,200.050003,204.059998,198.619995,202.5,3053200,202.5
8/1/2014,196.210007,201.779999,192.559998,201.779999,10507500,201.779999
7/31/2014,186.740005,186.949997,178.759995,180.639999,5383600,180.639999
7/30/2014,182.100006,187.399994,181.119995,187.289993,3158100,187.289993
7/29/2014,178.050003,179.919998,176.830002,179.740005,1635100,179.740005
7/28/2014,177.229996,178.940002,174.720001,178,1515600,178
7/25/2014,177,178.820007,176.009995,177.440002,1457700,177.440002
7/24/2014,173.699997,178.550003,172.300003,178.050003,3194300,178.050003
7/23/2014,166.610001,172.389999,166.070007,171.779999,2677000,171.779999
7/22/2014,162.770004,165.610001,162.309998,165.5,1963800,165.5
7/21/2014,159.580002,163.130005,159.029999,161.960007,1314500,161.960007
7/18/2014,158.300003,160.860001,157.779999,159.990005,1250300,159.990005
7/17/2014,157.960007,159.5,156.300003,157.210007,1458400,157.210007
7/16/2014,159.860001,160,157.330002,157.669998,958900,157.669998
7/15/2014,159.990005,161,156.979996,158.509995,1750100,158.509995
7/14/2014,157.899994,162.75,156.720001,159.699997,1580900,159.699997
7/11/2014,157.479996,158.800003,155.130005,156.580002,1332700,156.580002
7/10/2014,155.899994,158.759995,153.309998,156.309998,2363800,156.309998
7/9/2014,158.520004,160.880005,154,159.559998,2440800,159.559998
7/8/2014,168.970001,169.100006,155.990005,158.669998,3513100,158.669998
7/7/2014,173.279999,173.520004,169.080002,169.25,1164900,169.25
7/3/2014,173.270004,175.110001,171.869995,173.710007,1076500,173.710007
7/2/2014,172.149994,174.740005,172.029999,172.419998,1487500,172.419998
7/1/2014,173.119995,174.740005,171.240005,171.75,1764300,171.75
6/30/2014,167.089996,172.279999,167,171.470001,1787900,171.470001
6/27/2014,167.369995,168.169998,165.800003,166.759995,1531400,166.759995
6/26/2014,169.910004,169.910004,165.160004,166.770004,1646400,166.770004
6/25/2014,165.690002,170.070007,165,170,1362900,170
6/24/2014,168.449997,171.919998,165.399994,166.190002,1852600,166.190002
6/23/2014,166.25,169.100006,164.75,168.399994,1091600,168.399994
6/20/2014,167.330002,167.330002,162.860001,165.800003,1423500,165.800003
6/19/2014,170.289993,170.660004,165.600006,166.990005,1283700,166.990005
6/18/2014,166.210007,170.639999,164.979996,169.25,2170100,169.25
6/17/2014,166,166.5,163.210007,165.470001,1822000,165.470001
6/16/2014,169.300003,169.570007,166.460007,167.539993,1773500,167.539993
6/13/2014,165.789993,169.800003,164.039993,169.300003,3081000,169.300003
6/12/2014,164,167.25,162.5,164.539993,2411800,164.539993
6/11/2014,162.800003,165.610001,161.639999,163.639999,1689500,163.639999
6/10/2014,156.25,163.979996,156,163.679993,2680700,163.679993
6/9/2014,156.399994,158.820007,155.350006,156.389999,966100,156.389999
6/6/2014,155.509995,157.669998,154.490005,156.800003,921800,156.800003
6/5/2014,157.029999,157.410004,152.179993,155.240005,1568000,155.240005
6/4/2014,155.110001,158,153,156.399994,1105400,156.399994
6/3/2014,154.300003,157.539993,153.669998,155.809998,1355700,155.809998
6/2/2014,160.009995,160.630005,153,155.440002,2020600,155.440002
5/30/2014,163.289993,163.600006,159.029999,160.089996,2177000,160.089996
5/29/2014,161.300003,164.369995,159.869995,163.690002,2532000,163.690002
5/28/2014,160.449997,163,159,160.440002,1999400,160.440002
5/27/2014,157,162.979996,157,160.539993,2414200,160.539993
5/23/2014,155.759995,156.639999,154.059998,155.910004,1207700,155.910004
5/22/2014,152.899994,157,151.759995,155.860001,2087800,155.860001
5/21/2014,150.869995,153.270004,148.679993,152.720001,1765100,152.720001
5/20/2014,151,152.5,148.100006,149.860001,2072000,149.860001
5/19/2014,145.800003,151.949997,145.550003,151.440002,2219500,151.440002
5/16/2014,145.199997,147.320007,143.110001,147.020004,2444900,147.020004
5/15/2014,146,149.460007,143.449997,147.860001,2893200,147.860001
5/14/2014,147.059998,148.809998,145.149994,145.559998,2396500,145.559998
5/13/2014,152.699997,153.220001,146.380005,147.669998,2477000,147.669998
5/12/2014,151.279999,153.339996,147.869995,152.300003,2882400,152.300003
5/9/2014,145,149.5,144.580002,148.690002,2833800,148.690002
5/8/2014,142.880005,151.610001,141.179993,145.070007,4659700,145.070007
5/7/2014,143.050003,143.759995,136.020004,143.369995,5753100,143.369995
5/6/2014,150.479996,151.259995,141.270004,142.330002,5371800,142.330002
5/5/2014,144.399994,152.880005,144.380005,150.910004,4677500,150.910004
5/2/2014,160.639999,161.639999,147.520004,147.729996,10262100,147.729996
5/1/2014,157.380005,164.160004,157.240005,161.220001,6546800,161.220001
4/30/2014,150.210007,153.869995,148.009995,153.470001,2329200,153.470001
4/29/2014,144.020004,154.649994,144.020004,153.229996,4353800,153.229996
4/28/2014,157.789993,158.5,143.259995,148.059998,7405100,148.059998
4/25/2014,165.75,167,157.949997,158.169998,4191700,158.169998
4/24/2014,179.360001,179.360001,166.699997,171.589996,3046800,171.589996
4/23/2014,176.050003,177.199997,171.619995,175.710007,2086900,175.710007
4/22/2014,176.899994,180.960007,176.029999,176.309998,2068700,176.309998
4/21/2014,177.449997,179.380005,174.429993,176.899994,1995000,176.899994
4/17/2014,171.399994,176.610001,168.690002,175.419998,3170000,175.419998
4/16/2014,172.110001,173.690002,166.380005,171.820007,2138000,171.820007
4/15/2014,167.339996,171.559998,160.919998,170.899994,2990300,170.899994
4/14/2014,169.639999,170.190002,163.869995,165.779999,1972700,165.779999
4/11/2014,166.850006,171.869995,163.460007,165.779999,3208000,165.779999
4/10/2014,175.449997,176.539993,166.610001,169.990005,3895500,169.990005
4/9/2014,174.050003,177.220001,172.419998,176.179993,4500800,176.179993
4/8/2014,160.919998,170.360001,160.199997,169.100006,4750900,169.100006
4/7/2014,163.690002,169.339996,158.059998,159.649994,6075000,159.649994
4/4/2014,177.070007,177.889999,165.600006,165.830002,5848500,165.830002
4/3/2014,182.039993,183.330002,175.410004,176.970001,3504800,176.970001
4/2/2014,189.990005,190,182.619995,183.380005,2511400,183.380005
4/1/2014,185,188,183.360001,187.960007,3286100,187.960007
3/31/2014,192.289993,193.729996,184.300003,184.940002,2367000,184.940002
3/28/2014,189.25,193.830002,187.259995,190.589996,2978600,190.589996
3/27/2014,184.649994,189.289993,178.25,188.539993,3263400,188.539993
3/26/2014,186.369995,189.669998,185.029999,185.929993,3571100,185.929993
3/25/2014,189.649994,189.869995,181.770004,184.330002,3500800,184.330002
3/24/2014,196.559998,197.880005,183.75,188.139999,4617500,188.139999
3/21/2014,204.630005,205.449997,196.169998,196.720001,2756700,196.720001
3/20/2014,201.490005,206.429993,200.009995,204.419998,2144200,204.419998
3/19/2014,201.160004,205.190002,199.610001,201.949997,2373000,201.949997
3/18/2014,191.990005,197.979996,191.919998,197.850006,1643800,197.850006
3/17/2014,197.910004,197.910004,190.820007,191.809998,2849200,191.809998
3/14/2014,197.809998,200.529999,194.339996,196.779999,1925800,196.779999
3/13/2014,203.880005,206.630005,197.009995,197.839996,2196800,197.839996
3/12/2014,200.580002,205.619995,198.190002,203.080002,1832900,203.080002
3/11/2014,202.529999,207.039993,200.919998,201.5,1770300,201.5
3/10/2014,205.800003,206.050003,201.070007,202.429993,1887000,202.429993
3/7/2014,210.199997,210.199997,205,206.789993,2275900,206.789993
3/6/2014,208.399994,211.940002,205.649994,208.809998,2291000,208.809998
3/5/2014,203,207.990005,202.699997,207.740005,1955900,207.740005
3/4/2014,206.5,206.880005,202.460007,203,2702300,203
3/3/2014,201.600006,205.339996,198.300003,201.449997,2626300,201.449997
2/28/2014,213.320007,214.160004,200,204.039993,4271000,204.039993
2/27/2014,212.050003,214.990005,210.25,213.770004,2458600,213.770004
2/26/2014,216.690002,217.490005,211.020004,212.800003,4220800,212.800003
2/25/2014,206.119995,211.550003,203.089996,209.839996,5867600,209.839996
2/24/2014,191.720001,199.880005,191.509995,199.589996,2720200,199.589996
2/21/2014,194.720001,196.470001,192.229996,192.619995,2460600,192.619995
2/20/2014,195.899994,198.160004,192.039993,193.389999,2886300,193.389999
2/19/2014,190,198.690002,189.75,196.320007,5337000,196.320007
2/18/2014,186.210007,191.990005,185.039993,191.919998,4219400,191.919998
2/14/2014,192.130005,192.460007,185.729996,186.130005,4344300,186.130005
2/13/2014,190.300003,195,189.869995,191.669998,4337800,191.669998
2/12/2014,202.410004,204.399994,192.240005,192.339996,7159400,192.339996
2/11/2014,207.899994,209,200.190002,202.800003,5055300,202.800003
2/10/2014,209,213,206.809998,207.330002,3786500,207.330002
2/7/2014,210.190002,211.779999,201.979996,209.589996,11190000,209.589996
2/6/2014,214.559998,225,212.679993,223.449997,7094500,223.449997
2/5/2014,212.589996,215.949997,207.690002,214.360001,2149200,214.360001
2/4/2014,213.550003,214.5,209.679993,212.330002,2365800,212.330002
2/3/2014,217.240005,220.899994,210.550003,215.399994,2789000,215.399994
1/31/2014,208.160004,218.949997,208.160004,215.210007,2089100,215.210007
1/30/2014,211.830002,215.770004,208.630005,212.399994,2190900,212.399994
1/29/2014,209.740005,212.399994,201.860001,204.130005,2278800,204.130005
1/28/2014,207.039993,213,207.039993,212.690002,1993600,212.690002
1/27/2014,217.5,217.5,204.970001,205.220001,2996500,205.220001
1/24/2014,215.25,221.5,213.809998,217.389999,2125500,217.389999
1/23/2014,218.520004,220.300003,214.520004,216.740005,1265100,216.740005
1/22/2014,221.550003,223.740005,218.5,220.479996,1317500,220.479996
1/21/2014,222.160004,223.839996,218.100006,220.979996,1372000,220.979996
